EQY_FUND_CRNCY,REL_INDEX,FA_ADJUSTED,,,,,
Ticker,Short Name,Market Cap,Market Cap,Price:D-1,P/E,Total Return YTD,Revenue T12M
TMPV IN Equity,TATA MOTORS PASS,1302072373492.80,1302072373492.80,353.60,11.42,-20.42,4092580000000.00
TRP IN Equity,TORRENT PHARMA,1281269103056.00,1281269103056.00,3785.90,67.04,13.79,113172500000.00
HMCL IN Equity,HERO MOTOCORP LT,1270618277006.00,1270618277006.00,6350.50,29.00,58.80,409234200000.00
BJHI IN Equity,BAJAJ HOLDINGS A,1244372735310.00,1244372735310.00,11181.00,19.08,-5.29,6844200000.00
KKC IN Equity,CUMMINS INDIA,1238779080000.00,1238779080000.00,4468.90,61.94,38.70,103906900000.00
MOTHERSO IN Equity,SAMVARDHANA MOTH,1235354748901.40,1235354748901.40,117.05,32.11,13.16,1125409000000.00
TPWR IN Equity,TATA POWER CO,1228608055821.50,1228608055821.50,384.50,30.96,-1.45,654782400000.00
CIPLA IN Equity,CIPLA LTD,1228458460730.40,1228458460730.40,1520.80,23.29,0.52,271454000000.00
SIEM IN Equity,SIEMENS LTD,1184421187579.50,1184421187579.50,3325.90,70.14,2.56,173642000000.00
ADANIENS IN Equity,ADANI ENERGY SOL,1175875514121.70,1175875514121.70,978.85,110.88,21.42,237670900000.00
UNBK IN Equity,UNION BANK INDIA,1170231739553.10,1170231739553.10,153.30,6.33,31.80,1304007000000.00
IDEA IN Equity,VODAFONE IDEA LT,1170104778010.80,1170104778010.80,10.80,,36.02,442281000000.00
POWF IN Equity,POWER FINANCE,1163780885664.00,1163780885664.00,352.65,5.06,-17.98,1064315700000.00
GCPL IN Equity,GODREJ CONSUMER,1162405844016.00,1162405844016.00,1136.00,63.78,6.77,147905800000.00
SOIL IN Equity,SOLAR INDUSTRIES,1159992015045.00,1159992015045.00,12819.00,95.91,31.11,75402600000.00
TATACONS IN Equity,TATA CONSUMER PR,1150741075773.20,1150741075773.20,1162.90,84.39,28.08,187965900000.00
BSE IN Equity,BSE LTD,1146913470924.30,1146913470924.30,2815.90,86.58,59.13,29573400000.00
GAIL IN Equity,GAIL INDIA LTD,1117635437317.14,1117635437317.14,169.98,8.98,-7.08,1415614800000.00
LODHA IN Equity,LODHA DEVELOPERS,1110067354821.60,1110067354821.60,1111.60,40.04,-19.72,137795000000.00
